Estadio Nacional,"Lima, Peru",20-Mar-14,https://www.metallica.com/events/event-10896.html
Parque Bicentenario,"Quito, Ecuador",18-Mar-14,https://www.metallica.com/events/event-10895.html
Parque Simón Bolívar,"Bogotá, Colombia",16-Mar-14,https://www.metallica.com/events/event-10894.html
Staples Center,"Los Angeles, California, United States",26-Jan-14,https://www.metallica.com/events/event-10893.html
Carlini Argentine Base,"South Shetland Islands, Antarctica",8-Dec-13,https://www.metallica.com/events/event-10892.html
Colbert Report Studios,"New York, New York, United States",24-Sep-13,https://www.metallica.com/events/event-10891.html
Siriusxm Studios,"New York, New York, United States",23-Sep-13,https://www.metallica.com/events/event-10890.html
Yankee Stadium,"New York, New York, United States",22-Sep-13,https://www.metallica.com/events/event-10889.html
Apollo Theater,"New York, New York, United States",21-Sep-13,https://www.metallica.com/events/event-10888.html
Cidade Do Rock,"Rio De Janeiro, Brazil",19-Sep-13,https://www.metallica.com/events/event-10887.html
Gelora Bung Karno Stadium,"Jakarta, Indonesia",25-Aug-13,https://www.metallica.com/events/event-10886.html
Singapore Changi Exhibition Centre,"Singapore, Singapore",24-Aug-13,https://www.metallica.com/events/event-10885.html
Stadium Merdeka,"Kuala Lumpur, Malaysia",21-Aug-13,https://www.metallica.com/events/event-10884.html
Olympic Park,"Seoul, South Korea",18-Aug-13,https://www.metallica.com/events/event-10883.html
Mercedes-Benz Arena,"Shanghai, China",14-Aug-13,https://www.metallica.com/events/event-10882.html
Mercedes-Benz Arena,"Shanghai, China",13-Aug-13,https://www.metallica.com/events/event-10881.html
Maishima Summer Sonic Osaka Site,"Osaka, Japan",11-Aug-13,https://www.metallica.com/events/event-10880.html
Qvc Marine Field,"Tokyo, Japan",10-Aug-13,https://www.metallica.com/events/event-10879.html
Spreckels Theatre,"San Diego, California, United States",19-Jul-13,https://www.metallica.com/events/event-10878.html
Festivalpladsen,"Roskilde, Denmark",6-Jul-13,https://www.metallica.com/events/event-10877.html
Belle Isle,"Detroit, Michigan, United States",9-Jun-13,https://www.metallica.com/events/event-10876.html
Belle Isle,"Detroit, Michigan, United States",8-Jun-13,https://www.metallica.com/events/event-10875.html
Club Nokia,"Los Angeles, California, United States",2-May-13,https://www.metallica.com/events/event-10874.html
Fnb Stadium (Aka Soccer City),"Johannesburg, South Africa",27-Apr-13,https://www.metallica.com/events/event-10873.html
Bellville Velodrome,"Cape Town, South Africa",25-Apr-13,https://www.metallica.com/events/event-10872.html
Bellville Velodrome,"Cape Town, South Africa",24-Apr-13,https://www.metallica.com/events/event-10871.html
Du Arena At Yas Island,"Abu Dhabi, United Arab Emirates",19-Apr-13,https://www.metallica.com/events/event-10870.html
Claremont Showgrounds,"Perth, Australia",4-Mar-13,https://www.metallica.com/events/event-10869.html
Bonython Park,"Adelaide, Australia",2-Mar-13,https://www.metallica.com/events/event-10868.html
Olympic Park,"Melbourne, Australia",1-Mar-13,https://www.metallica.com/events/event-10867.html
Flemington Racecourse,"Sydney, Australia",24-Feb-13,https://www.metallica.com/events/event-10866.html
Rna Showgrounds,"Brisbane, Australia",23-Feb-13,https://www.metallica.com/events/event-10865.html
City Park,"New Orleans, Louisiana, United States",27-Oct-12,https://www.metallica.com/events/event-10864.html
Rogers Arena,"Vancouver, British Columbia, Canada",27-Aug-12,https://www.metallica.com/events/event-10863.html
Rogers Arena,"Vancouver, British Columbia, Canada",25-Aug-12,https://www.metallica.com/events/event-10862.html
Rogers Arena,"Vancouver, British Columbia, Canada",24-Aug-12,https://www.metallica.com/events/event-10861.html
Rexall Place,"Edmonton, Alberta, Canada",18-Aug-12,https://www.metallica.com/events/event-10860.html
Rexall Place,"Edmonton, Alberta, Canada",17-Aug-12,https://www.metallica.com/events/event-10859.html
Golden Gate Park,"San Francisco, California, United States",11-Aug-12,https://www.metallica.com/events/event-10858.html
Palacio De Los Deportes,"Mexico City, Mexico",9-Aug-12,https://www.metallica.com/events/event-10857.html
Palacio De Los Deportes,"Mexico City, Mexico",7-Aug-12,https://www.metallica.com/events/event-10856.html
Palacio De Los Deportes,"Mexico City, Mexico",6-Aug-12,https://www.metallica.com/events/event-10855.html
Palacio De Los Deportes,"Mexico City, Mexico",4-Aug-12,https://www.metallica.com/events/event-10854.html
Palacio De Los Deportes,"Mexico City, Mexico",2-Aug-12,https://www.metallica.com/events/event-10853.html
Palacio De Los Deportes,"Mexico City, Mexico",1-Aug-12,https://www.metallica.com/events/event-10852.html
Palacio De Los Deportes,"Mexico City, Mexico",30-Jul-12,https://www.metallica.com/events/event-10851.html
Palacio De Los Deportes,"Mexico City, Mexico",28-Jul-12,https://www.metallica.com/events/event-10850.html
Bader Field,"Atlantic City, New Jersey, United States",24-Jun-12,https://www.metallica.com/events/event-10849.html
Bader Field,"Atlantic City, New Jersey, United States",23-Jun-12,https://www.metallica.com/events/event-10848.html
Pannonia Fields Ii,"Nickelsdorf, Austria",10-Jun-12,https://www.metallica.com/events/event-10847.html
Donington Park,"Castle Donington, England",9-Jun-12,https://www.metallica.com/events/event-12486.html
State Prison Open Air,"Horsens, Denmark",6-Jun-12,https://www.metallica.com/events/event-10846.html
Kalasatama,"Helsinki, Finland",4-Jun-12,https://www.metallica.com/events/event-10845.html
Nürburgring,"Nürburg, Germany",2-Jun-12,https://www.metallica.com/events/event-10844.html
Zeppelinfeld,"Nuremberg, Germany",1-Jun-12,https://www.metallica.com/events/event-10843.html
Rives Du Lac,"Yverdon-Les-Bains, Switzerland",30-May-12,https://www.metallica.com/events/event-10842.html
Festivalpark,"Werchter, Belgium",28-May-12,https://www.metallica.com/events/event-10841.html
Auditorio John Lennon,"Madrid, Spain",26-May-12,https://www.metallica.com/events/event-10840.html
Parque Da Bela Vista,"Lisbon, Portugal",25-May-12,https://www.metallica.com/events/event-10839.html
Valle Hovin,"Oslo, Norway",23-May-12,https://www.metallica.com/events/event-10838.html
Stadio Friuli,"Udine, Italy",13-May-12,https://www.metallica.com/events/event-10837.html
Stade De France,"Paris, France",12-May-12,https://www.metallica.com/events/event-10836.html
Bemowo Airport,"Warsaw, Poland",10-May-12,https://www.metallica.com/events/event-10835.html
Usce Park,"Belgrade, Serbia",8-May-12,https://www.metallica.com/events/event-10834.html
Synot Tip Arena,"Prague, Czech Republic",7-May-12,https://www.metallica.com/events/event-10833.html
The Fillmore,"San Francisco, California, United States",10-Dec-11,https://www.metallica.com/events/event-10832.html
The Fillmore,"San Francisco, California, United States",9-Dec-11,https://www.metallica.com/events/event-10831.html
The Fillmore,"San Francisco, California, United States",7-Dec-11,https://www.metallica.com/events/event-10830.html
The Fillmore,"San Francisco, California, United States",5-Dec-11,https://www.metallica.com/events/event-10829.html
Rai Studios,"Milan, Italy",13-Nov-11,https://www.metallica.com/events/event-10828.html
Wdr Studios,"Cologne, Germany",11-Nov-11,https://www.metallica.com/events/event-10827.html
Taratata Studios,"Paris, France",9-Nov-11,https://www.metallica.com/events/event-10826.html
Bbc Television Centre,"London, England",8-Nov-11,https://www.metallica.com/events/event-12485.html
Bangalore Palace Ground - Main Palace,"Bangalore, India",30-Oct-11,https://www.metallica.com/events/event-10825.html
F1 Rocks,"Delhi, India",28-Oct-11,https://www.metallica.com/events/event-10824.html
Du Arena At Yas Island,"Abu Dhabi, United Arab Emirates",25-Oct-11,https://www.metallica.com/events/event-10823.html
Cidade Do Rock,"Rio De Janeiro, Brazil",25-Sep-11,https://www.metallica.com/events/event-10822.html
Yankee Stadium,"New York, New York, United States",14-Sep-11,https://www.metallica.com/events/event-10821.html
Moscone Center,"San Francisco, California, United States",31-Aug-11,https://www.metallica.com/events/event-10820.html
Plains Of Abraham,"Quebec City, Quebec, Canada",16-Jul-11,https://www.metallica.com/events/event-10819.html
Halifax Citadel Garrison Grounds,"Halifax, Nova Scotia, Canada",14-Jul-11,https://www.metallica.com/events/event-10818.html
Snowhall Parc,"Amnéville, France",9-Jul-11,https://www.metallica.com/events/event-10817.html
Knebworth House,"Stevenage, England",8-Jul-11,https://www.metallica.com/events/event-12484.html
Fiera Open Air Arena,"Milan, Italy",6-Jul-11,https://www.metallica.com/events/event-10816.html
Ullevi Stadium,"Gothenburg, Sweden",3-Jul-11,https://www.metallica.com/events/event-10815.html
Veltins Arena,"Gelsenkirchen, Germany",2-Jul-11,https://www.metallica.com/events/event-10814.html
Empire Polo Club,"Indio, California, United States",23-Apr-11,https://www.metallica.com/events/event-10813.html
Rod Laver Arena,"Melbourne, Australia",21-Nov-10,https://www.metallica.com/events/event-10812.html
Rod Laver Arena,"Melbourne, Australia",20-Nov-10,https://www.metallica.com/events/event-10811.html
Rod Laver Arena,"Melbourne, Australia",18-Nov-10,https://www.metallica.com/events/event-10810.html
Adelaide Entertainment Centre,"Adelaide, Australia",16-Nov-10,https://www.metallica.com/events/event-10809.html
Adelaide Entertainment Centre,"Adelaide, Australia",15-Nov-10,https://www.metallica.com/events/event-10808.html
Acer Arena,"Sydney, Australia",13-Nov-10,https://www.metallica.com/events/event-10807.html
Acer Arena,"Sydney, Australia",11-Nov-10,https://www.metallica.com/events/event-10806.html
Acer Arena,"Sydney, Australia",10-Nov-10,https://www.metallica.com/events/event-10805.html
"Santa Monica Airport, Hangar 8","Santa Monica, California, United States",4-Nov-10,https://www.metallica.com/events/event-10804.html
Burswood Dome,"Perth, Australia",23-Oct-10,https://www.metallica.com/events/event-10803.html
