Henrietta Award (World Film Favorites),Pier Angeli,1955
Henrietta Award (World Film Favorites),Marlon Brando,1955
Henrietta Award (World Film Favorites),Doris Day,1955
Henrietta Award (World Film Favorites),Alan Ladd,1955
Cinematography - Color,Joseph Ruttenberg,1955
Cinematography - Black And White,Boris Kaufman,1955
Best Motion Picture - Drama,East of Eden,1956
Best Motion Picture - Musical or Comedy,Guys and Dolls,1956
Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,1956
Best Performance by an Actor in a Motion Picture - Drama,Ernest Borgnine,1956
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Ewell,1956
Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Pavan,1956
Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,1956
Best Director - Motion Picture,Joshua Logan,1956
Best Motion Picture - Foreign Language,Dangerous Curves (UK),1956
Best Motion Picture - Foreign Language,Eyes of Children,1956
Best Motion Picture - Foreign Language,"Sons, Mothers And A General",1956
Best Motion Picture - Foreign Language,Stella,1956
Best Motion Picture - Foreign Language,Ordet,1956
Cecil B. deMille Award,Jack L. Warner,1956
Promoting International Understanding,Henry King,1956
Television Achievement,Desi Arnaz,1956
Television Achievement,Dinah Shore,1956
Special Achievement Award,James Dean,1956
New Star Of The Year - Actress,Anita Ekberg,1956
New Star Of The Year - Actress,Victoria Shaw,1956
New Star Of The Year - Actress,Dana Wynter,1956
New Star Of The Year - Actor,Ray Danton,1956
New Star Of The Year - Actor,Russ Tamblyn,1956
Actress In A Leading Role - Musical Or Comedy,Jean Simmons,1956
Henrietta Award (World Film Favorites),Marlon Brando,1956
Henrietta Award (World Film Favorites),Grace Kelly,1956
Hollywood Citizenship Award,Esther Williams,1956
Best Motion Picture - Drama,Around the World in 80 Days,1957
Best Motion Picture - Drama,Lust For Life,1957
Best Motion Picture - Drama,"Rainmaker, The",1957
Best Motion Picture - Drama,War and Peace,1957
Best Motion Picture - Drama,Giant,1957
Best Motion Picture - Musical or Comedy,"King and I, The",1957
Best Motion Picture - Musical or Comedy,Bus Stop,1957
Best Motion Picture - Musical or Comedy,"Opposite Sex, The",1957
Best Motion Picture - Musical or Comedy,"Solid Gold Cadillac, The",1957
Best Motion Picture - Musical or Comedy,"Teahouse of the August Moon, The",1957
Best Performance by an Actress in a Motion Picture - Drama,Carroll Baker,1957
Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,1957
Best Performance by an Actress in a Motion Picture - Drama,Helen Hayes,1957
Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,1957
Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,1957
Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,1957
Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,1957
Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,1957
Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,1957
Best Performance by an Actor in a Motion Picture - Drama,Karl Malden,1957
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,1957
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marlon Brando,1957
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Yul Brynner,1957
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,1957
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,1957
Best Performance by an Actress in a Supporting Role in any Motion Picture,Eileen Heckart,1957
